Nâng cấp bắt đầu: 23:06:40_05-10-2023
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/js/admin.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/js/chart/chart.esm.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/js/chart/chart.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/js/chart/chart.min.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/js/chart/chunks/helpers.segment.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/js/chart/helpers.esm.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/js/clipboard/clipboard.min.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/js/global.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/js/jquery/additional-methods.min.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/js/jquery/jquery.min.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/js/jquery/jquery.validate.min.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/js/jquery-ui/images/ui-icons_444444_256x240.png | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/js/jquery-ui/images/ui-icons_555555_256x240.png | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/js/jquery-ui/images/ui-icons_777620_256x240.png | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/js/jquery-ui/images/ui-icons_777777_256x240.png | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/js/jquery-ui/images/ui-icons_cc0000_256x240.png | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/js/jquery-ui/images/ui-icons_ffffff_256x240.png | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/js/jquery-ui/jquery-ui.min.css | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/js/jquery-ui/jquery-ui.min.js | SUCCESS
